city,rooms,square,price,link,township,title
Beograd,3,90.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/velika-ponuda-luksuznih-stanova-u-kompleksima-bw--kmr--skyline/NkjQy2QHpkr/,Kneza Miloša ( centar ),Velika ponuda luksuznih stanova u kompleksima BW / KMR / SKYLINE
Beograd,3,103.0,3500,https://www.nekretnine.rs/stambeni-objekti/stanovi/ekskluzivni-stanovi-u-beogradu-na-vodi--30--najlepsi-pogled-na-reku/NkNgezZwyFH/,Beograd na vodi,Ekskluzivni stanovi u Beogradu na vodi  / 3.0 / Najlepsi pogled na reku
Beograd,3,85.0,1950,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-bw--kmr--skyline--30--garaza/Nk7jnlKhijc/,Kneza Miloša ( centar ),Izdavanje luksuznih stanova - BW / KMR / SKYLINE / 3.0 / garaza
Beograd,3,93.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-u-kneza-milosa-residence--30--garaza/NkS1Y6hibxs/,Kneza Miloša ( centar ),Izdavanje luksuznih  stanova u Kneza Milosa Residence / 3.0 / garaza
Beograd,5,150.0,1500,https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-50-stan-u-centru--retko-u-ponudi/NkjQhkS3Udp/,Centar (uži),Lux 5.0 stan u Centru / Retko u ponudi
Beograd,3,60.0,800,https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-lion-bulevar-kralja-aleksandra-30-60m2-800-eur/336756/,Lion,"Zvezdara, Lion, Bulevar kralja Aleksandra, 3.0, 60m2, 800 EUR"
Beograd,4,340.0,3700,https://www.nekretnine.rs/stambeni-objekti/stanovi/ekskluzivni-stanovi-na-dedinju--40--150m2-terasa--2-garazna/NkILC8r_xoa/,Dedinje (25. maj),Ekskluzivni stanovi na Dedinju / 4.0 / 150m2 terasa / 2 garazna
Beograd,4,255.0,3500,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova--4-0--basta--bazen--garaza--parking-miloja-djaka/NkYeKz3Bmv5/,Dedinje (Beli dvor),Izdavanje luksuznih stanova / 4. 0 / BASTA / BAZEN / GARAZA + PARKING - Miloja DJaka
Beograd,3,92.0,1750,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-na-vracaru--30--penthaus/NkqWj6nzTOC/,Kalenić pijaca,Izdavanje luksuznih stanova na Vracaru / 3.0 / Penthaus
Beograd,2,65.0,1400,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-skyline--20--garaza/NkjqVFbE0fA/,Kneza Miloša ( centar ),Izdavanje luksuznih stanova - SKYLINE / 2.0 / garaza
Beograd,4,160.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzni-stanovi-na-dedinju--40--garaza/Nkfn3m6ss0_/,Dedinje (RTV Pink),Luksuzni stanovi na Dedinju / 4.0 / garaza
Beograd,4,140.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-na-vracaru--40--2-garazna-hram/NkU00i2_OXR/,Vračar (Hram),Izdavanje luksuznih stanova na Vracaru / 4.0 / 2 garazna - HRAM
Beograd,3,93.0,1200,https://www.nekretnine.rs/stambeni-objekti/stanovi/west-65-izdavanje-nov-lux-sa-garaznim-mestom-id7808/Nk9XZXo_Tos/,Novi Beograd Blok 65,"West 65, izdavanje, nov lux sa garažnim mestom ID#7808"
Beograd,3,87.0,1500,https://www.nekretnine.rs/stambeni-objekti/stanovi/west-tower-izdavanje-nov-lux-trosoban-sa-garazom-id7736/NkPu6TT3Z2v/,Novi Beograd Blok 65,"West Tower, izdavanje, nov, lux trosoban sa garažom ID#7736"
Beograd,1,38.0,500,https://www.nekretnine.rs/stambeni-objekti/stanovi/kulturnoj-devojci-besplatno-izdajem-lux-stan-na-dorcolu/Nk0ioHp1XGM/,Donji Dorćol,"Kulturnoj DEVOJCI, BESPLATNO, izdajem LUX stan na DORĆOLU"
Beograd,2,56.0,1300,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova--20--garaza/NknTnOP75td/,Beograd na vodi,Izdavanje luksuznih stanova / 2.0 / garaza
Beograd,2,64.0,1200,https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzni-stanovi-u-bw-residence--20--2-garazna-kula-a/NkFXM-5Rxj1/,Beograd na vodi,Luksuzni stanovi  u BW RESIDENCE / 2.0 / 2 garazna - KULA A
Beograd,2,62.0,900,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-u-beogradu-na-vodi--20--garaza--bazen-bw-residences/NkGN9Pm7ggE/,Beograd na vodi,Izdavanje luksuznih stanova u Beogradu na vodi / 2.0 / garaza / Bazen  - BW RESIDENCES
Beograd,3,100.0,1450,https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-30--novogradnja--2-garazna/NkADdRGbSTJ/,Dedinje (Beli dvor),Lux 3.0 / novogradnja / 2 garazna
Beograd,3,70.0,500,https://www.nekretnine.rs/stambeni-objekti/stanovi/centar-70m2-agencijski-id-7922/NkAps8nY-Zu/,Centar (uži),"Centar, 70m2, agencijski ID: 7922"
Beograd,3,67.0,650,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-22-antifasisticke-borbe-30-67m2-650-eur/NkkSw_Sb20I/,Novi Beograd Blok 22,"Novi Beograd, Blok 22, Antifašističke borbe, 3.0, 67m2, 650 EUR"
Beograd,4,90.0,750,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-33-genex-bulevar-arsenija-carnojevica-40-90m2-750-eur/65443/,Novi Beograd Blok 33 (Genex kula),"Novi Beograd, Blok 33, Genex, Bulevar Arsenija Čarnojevića, 4.0, 90m2, 750 EUR"
Beograd,4,90.0,750,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-33-genex-bulevar-arsenija-carnojevica-40-90m2-750-eur/65443/,Novi Beograd Blok 33 (Genex kula),"Novi Beograd, Blok 33, Genex, Bulevar Arsenija Čarnojevića, 4.0, 90m2, 750 EUR"
Beograd,5,110.0,900,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-29-spanskih-boraca-60-110m2-900-eur/NkpoV6cmX67/,Novi Beograd Blok 29,"Novi Beograd, Blok 29, Španskih boraca, 6.0, 110m2, 900 EUR"
