city,rooms,total_price,link,condition,heating,township,place,street
Novi Sad,2.0,550,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/novi-sad-centar/623e0531403aaf7fda4847a3,namešteno,,Gradske lokacije,Stari Grad,Novi Sad - Centar
Beograd,5.0,2500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/dedinje/62309d7f1e45052821255da3,namešteno,centralno,Savski Venac,Savski Venac,Dedinje
Beograd,3.0,2000,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/banovo-brdo/624326ae4f970473e72a7c66,namešteno,,Čukarica opština,Čukarica,Banovo Brdo
Beograd,2.0,900,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kula-a/61d4827e9f4fb60e6c69e1c8,namešteno,centralno,Savski Venac,Beograd na vodi,Kula A
Beograd,2.0,1200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/6176978a35cdac19fb4bb55c,namešteno,centralno,Savski Venac,Beograd na vodi,Hercegovačka
Beograd,2.0,800,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/tadije-sondermajera/623c1adec52bca1db149ff43,namešteno,centralno,Novi Beograd,Blok 65,Tadije Sondermajera
Novi Sad,4.0,850,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/sonje-marinkovic/61c3431a7d35f835b65d6368,prazno,centralno,Gradske lokacije,Novi Sad - Centar,Sonje Marinković
Beograd,3.0,700,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/topaloviceva/62331229d7bb7474e71fd823,namešteno,centralno,Zvezdara opština,Denkova Bašta,Topalovićeva
Novi Sad,5.0,2000,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/modene/62418999f79afb70020600b3,polunamešteno,centralno,Gradske lokacije,Novi Sad - Centar,Modene
Novi Sad,4.0,2200,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/sumadijska/62434b055ab2ea475a02aef3,namešteno,centralno,Gradske lokacije,Novi Sad - Centar,Šumadijska
Beograd,2.0,1500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/dragoslava-jovanovica/6249ff2602e1f01b0332f7a3,namešteno,centralno,Stari Grad opština,Andrićev Venac,Dragoslava Jovanovića
Beograd,3.0,1600,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/6249ff2802e1f01b0332f7a8,namešteno,centralno,Savski Venac,Beograd na vodi,Hercegovačka
Beograd,3.0,1500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/625026ec5da3051b236bed29,namešteno,centralno,Savski Venac,Beograd na vodi,Hercegovacka
Novi Sad,2.0,370,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/laze-kostica/6220b58ad61c5959ca7f5a04,namešteno,centralno,Gradske lokacije,Spens,Laze Kostića
Novi Sad,1.5,300,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/vojvode-misica/623f1f34cff67f199f17c763,namešteno,centralno,Gradske lokacije,Kej Žrtava Racije,Vojvode Mišića
Novi Sad,1.5,250,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/teodora-pavlovica/624ef7720b510c42f50f1883,namešteno,centralno,Gradske lokacije,Adamovićevo Naselje,Teodora Pavlovića
Zrenjanin,1.5,330,https://www.4zida.rs/izdavanje/stanovi/zrenjanin/oglas/gunduliceva/61f33873e3f34a5e4f23f9d8,namešteno,centralno,Gradske lokacije,Mala Amerika,Gundulićeva
Beograd,3.0,1600,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/61fd887d7d95a421744c9550,namešteno,centralno,Savski Venac,Beograd na vodi,Hercegovacka
Beograd,3.0,2100,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/613272107e075a0fa07efa15,namešteno,centralno,Savski Venac,Kneza Miloša,Kneza Milosa
Beograd,3.0,2500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/624702a55c83e2463e20af93,namešteno,centralno,Savski Venac,Savski Venac,Kneza Miloša
Beograd,3.0,1950,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/624c57d7ef447f2f9a54a285,namešteno,centralno,Savski Venac,Kneza Miloša,Kneza Milosa
Beograd,3.0,2500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/624f216afc348a500d48022b,namešteno,centralno,Savski Venac,Savski Venac,Kneza Miloša
Novi Sad,1.5,400,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/koste-racina/62500fd0f1ad72532e408295,namešteno,na gas,Gradske lokacije,Nova Detelinara,Koste Racina
Beograd,4.0,1400,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/miloja-djaka/60b491df054b95324337e553,namešteno,norveški radijatori,Savski Venac,Dedinje,Miloja Đaka
Beograd,3.0,1200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/jurija-gagarina/62320e7a065f1f51624476e3,polunamešteno,centralno,Novi Beograd,Blok 63,Jurija Gagarina
Beograd,3.0,1300,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/jurija-gagarina/6230abe2094cb71f275bcc8c,prazno,centralno,Novi Beograd,Blok 63,Jurija Gagarina
Beograd,3.0,700,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/dzona-kenedija/621f8736be30fe3d355487d8,namešteno,centralno,Novi Beograd,Hotel YU,Džona Kenedija
Beograd,2.0,480,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/vojvode-bogdana/6226343bf297d57d78052d43,polunamešteno,centralno,Zvezdara opština,Vukov Spomenik,Vojvode Bogdana
Valjevo,4.0,750,https://www.4zida.rs/izdavanje/stanovi/valjevo/oglas/centar/624eff033bb23244ff136905,namešteno,centralno,Gradske lokacije,Gradske lokacije,Centar
Beograd,2.5,1600,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/cubura/622a5ea5ff21c326b4497333,namešteno,,Vračar,Vračar,Čubura
Subotica,2.0,230,https://www.4zida.rs/izdavanje/stanovi/subotica/oglas/prozivka/624e00eeced88658506f7423,namešteno,centralno,Gradske lokacije,Gradske lokacije,Prozivka
Beograd,4.0,1500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/miloja-djaka/6151ad6ceebc36443f6be6a8,namešteno,na gas,Savski Venac,Dedinje,Miloja Đaka
